ENSEMBL	ESC	ESC	HB	HB
ENSG00000000003	1838	1702	3024	2743
ENSG00000000005	24	124	0	0
ENSG00000000419	885	967	772	707
ENSG00000000457	204	230	314	261
ENSG00000000460	956	807	252	235
ENSG00000000938	4	5	0	0
ENSG00000000971	37	28	23	18
ENSG00000001036	1257	1141	3028	2969
ENSG00000001084	1128	1053	2565	2458
ENSG00000001167	1097	960	1344	1281
ENSG00000001460	344	314	124	98
ENSG00000001461	402	341	847	765
ENSG00000001497	1892	1805	519	465
ENSG00000001561	174	228	377	370
ENSG00000001617	903	843	25	29
ENSG00000001626	42	4	4112	3677
ENSG00000001629	1630	1132	1136	1171
ENSG00000001630	1278	2034	4363	4325
ENSG00000001631	853	639	818	789
ENSG00000002016	352	162	245	242
ENSG00000002079	0	0	0	0
ENSG00000002330	122	137	206	198
ENSG00000002549	1009	1197	1455	1324
ENSG00000002587	24	32	7	18
ENSG00000002726	5	0	12	5
ENSG00000002745	4	4	0	0
ENSG00000002746	87	89	9	10
ENSG00000002822	356	422	452	495
ENSG00000002834	6833	5839	13911	12891
ENSG00000002919	502	526	287	251
ENSG00000002933	5	2	33	22
ENSG00000003056	2578	2919	2033	2016
ENSG00000003096	238	206	959	943
ENSG00000003137	4	15	11	22
ENSG00000003147	586	652	695	634
ENSG00000003249	1687	1575	173	208
ENSG00000003393	1607	1261	1276	1095
ENSG00000003400	619	693	464	379
ENSG00000003402	336	482	2051	2071
ENSG00000003436	5194	6179	1319	1178
ENSG00000003509	1220	1321	382	365
ENSG00000003756	2004	1614	4369	4064
ENSG00000003987	299	201	39	40
ENSG00000003989	1625	1105	5067	5232
ENSG00000004059	1485	1851	1386	1320
ENSG00000004139	153	116	1125	1228
ENSG00000004142	1861	1919	2944	2756
ENSG00000004399	958	1217	471	444
ENSG00000004455	2620	3443	4236	3831
ENSG00000004468	14	10	13	6
ENSG00000004478	5900	7018	1454	1315
ENSG00000004487	8076	7399	2095	2029
ENSG00000004534	3092	2119	2177	2032
ENSG00000004660	325	255	54	65
ENSG00000004700	973	984	677	696
ENSG00000004766	284	208	352	330
ENSG00000004776	16	21	4	5
ENSG00000004777	384	197	42	46
ENSG00000004779	1345	1839	1344	1071
ENSG00000004799	3	3	108	123
ENSG00000004809	0	0	0	0
ENSG00000004838	4	3	2	0
ENSG00000004846	3	6	6	16
ENSG00000004848	2	0	0	0
ENSG00000004864	2409	1590	1923	1685
ENSG00000004866	330	240	476	433
ENSG00000004897	1471	1482	2051	1965
ENSG00000004939	9	9	4	3
ENSG00000004948	27	29	17	16
ENSG00000004961	343	430	457	452
ENSG00000004975	1214	1100	1505	1373
ENSG00000005001	0	8	88	75
ENSG00000005007	2759	3104	2222	2323
ENSG00000005020	77	104	171	133
ENSG00000005022	6344	9541	9297	7788
ENSG00000005059	189	99	10	4
ENSG00000005073	0	1	0	0
ENSG00000005075	710	902	692	636
ENSG00000005100	2665	2321	755	713
ENSG00000005102	0	0	1	1
ENSG00000005108	101	12	207	205
ENSG00000005156	2703	2617	1362	1266
ENSG00000005175	842	769	605	566
ENSG00000005187	257	245	165	158
ENSG00000005189	180	175	1000	891
ENSG00000005194	1430	1848	2304	1929
ENSG00000005206	1048	615	931	938
